간지,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥,tbl_code
乙,,금신,,구추방해,,금신,,,,구추방해,,,da10_gj_dtgj
丙,,,,,,,,,,,,,da10_gj_dtgj
丁,,,,,,,,,,,,,da10_gj_dtgj
戊,구추방해,,,,,,구추방해,,,,,,da10_gj_dtgj
己,,,,구추방해,,,,,,구추방해,,,da10_gj_dtgj
庚,,,,,,,,,,,,,da10_gj_dtgj
辛,,,,구추방해,,,,,,구추방해,,,da10_gj_dtgj
壬,구추방해,,,,,,구추방해,,,,,,da10_gj_dtgj
癸,,,,,,,,,,금신,,,da10_gj_dtgj
甲,,,고란,,,,,,,,과살,,da11_gj_gj
乙,,곡각,,곡각,,고란 곡각,,곡각,,곡각,,곡각,da11_gj_gj
丙,,,,,,,,,,,과살,,da11_gj_gj
丁,,곡각,,,,고란 곡각,,,,,,,da11_gj_gj
戊,과살,,과살,,과살 괴강,,과살,,고란 과살,,과살 괴강,,da11_gj_gj
己,,곡각,,곡각,,곡각,,곡각,,곡각,,곡각,da11_gj_gj
庚,,,,,괴강,,,,,,과살 괴강,,da11_gj_gj
辛,,곡각,,,,곡각,,,,,,고란,da11_gj_gj
壬,,,,,괴강,,,,,,과살 괴강,,da11_gj_gj
癸,,곡각,,,,곡각,,,,,,,da11_gj_gj
甲,,,,,백호,,,,,,,,da12_gj_gj-hgj
乙,,,,,,,,백호,,,,,da12_gj_gj-hgj
丙,,,,,,,,,,,백호,,da12_gj_gj-hgj
丁,,백호,,,,,,,,,,,da12_gj_gj-hgj
戊,,,,,백호,,,,,,,,da12_gj_gj-hgj
己,,,,,,,,,,,,,da12_gj_gj-hgj
庚,,,,,,,,,,,,,da12_gj_gj-hgj
辛,,,,,,,,,,,,,da12_gj_gj-hgj
壬,,,,,,,,,,,백호,,da12_gj_gj-hgj
癸,,백호,,,,,,,,,,,da12_gj_gj-hgj
甲,,계비관,,,,계비관,,,,계비관,,,da13_-dg_hyj
乙,계비관,,,,,,,,,,,,da13_-dg_hyj
丙,계비관,,,,,,,,,,,,da13_-dg_hyj
丁,계비관,,,,,,,,,,,,da13_-dg_hyj
戊,계비관,,,,,,,,,,,,da13_-dg_hyj
己,,계비관,,,,계비관,,,,계비관,,,da13_-dg_hyj
庚,,,계비관,,,,계비관,,,,계비관,,da13_-dg_hyj
辛,,,계비관,,,,계비관,,,,계비관,,da13_-dg_hyj
壬,,,계비관,,,,계비관,,,,계비관,,da13_-dg_hyj
癸,,,계비관,,,,계비관,,,,계비관,,da13_-dg_hyj
子,장성살,반안살,역마살,육해살,화개살,겁살,재살,천살,지살,연살 도화,월살,망신살,db01_dj_jj-dj_hj
丑,육해살,화개살,겁살,재살,천살,지살,연살 도화,월살,망신살,장성살,반안살,역마살,db01_dj_jj-dj_hj
寅,재살,천살,지살,연살 도화,월살,망신살,장성살,반안살,역마살,육해살,화개살,겁살,db01_dj_jj-dj_hj
卯,연살 도화,월살,망신살,장성살,반안살,역마살,육해살,화개살,겁살,재살,천살,지살,db01_dj_jj-dj_hj
辰,장성살,반안살,역마살,육해살,화개살,겁살,재살,천살,지살,연살 도화,월살,망신살,db01_dj_jj-dj_hj
巳,육해살,화개살,겁살,재살,천살,지살,연살 도화,월살,망신살,장성살,반안살,역마살,db01_dj_jj-dj_hj
午,재살,천살,지살,연살 도화,월살,망신살,장성살,반안살,역마살,육해살,화개살,겁살,db01_dj_jj-dj_hj
未,연살 도화,월살,망신살,장성살,반안살,역마살,육해살,화개살,겁살,재살,천살,지살,db01_dj_jj-dj_hj
申,장성살,반안살,역마살,육해살,화개살,겁살,재살,천살,지살,연살 도화,월살,망신살,db01_dj_jj-dj_hj
酉,육해살,화개살,겁살,재살,천살,지살,연살 도화,월살,망신살,장성살,반안살,역마살,db01_dj_jj-dj_hj
戌,재살,천살,지살,연살 도화,월살,망신살,장성살,반안살,역마살,육해살,화개살,겁살,db01_dj_jj-dj_hj
亥,연살 도화,월살,망신살,장성살,반안살,역마살,육해살,화개살,겁살,재살,천살,지살,db01_dj_jj-dj_hj
子,,,,,,,,원진,,,,,db02_dj_mtj-dj_hj
丑,,,,,,,원진,,,,,,db02_dj_mtj-dj_hj
寅,,,,,,,,,,원진,,,db02_dj_mtj-dj_hj
卯,,,,,,,,,원진,,,,db02_dj_mtj-dj_hj
辰,,,,,,,,,,,,원진,db02_dj_mtj-dj_hj
巳,,,,,,,,,,,원진,,db02_dj_mtj-dj_hj
午,,원진,,,,,,,,,,,db02_dj_mtj-dj_hj
未,원진,,,,,,,,,,,,db02_dj_mtj-dj_hj
申,,,,원진,,,,,,,,,db02_dj_mtj-dj_hj
酉,,,원진,,,,,,,,,,db02_dj_mtj-dj_hj
戌,,,,,,원진,,,,,,,db02_dj_mtj-dj_hj
亥,,,,,원진,,,,,,,,db02_dj_mtj-dj_hj
子,,,,,,,수옥,,,,과숙,,db03_dj_ymtj
丑,,,,수옥,,,,,,,과숙,,db03_dj_ymtj
寅,수옥,과숙,,,,,,,,,,,db03_dj_ymtj
卯,,과숙,,,,,,,,수옥,,,db03_dj_ymtj
辰,,과숙,,,,,수옥,,,,,,db03_dj_ymtj
巳,,,,수옥,과숙,,,,,,,,db03_dj_ymtj
午,수옥,,,,과숙,,,,,,,,db03_dj_ymtj
未,,,,,과숙,,,,,수옥,,,db03_dj_ymtj
申,,,,,,,수옥,과숙,,,,,db03_dj_ymtj
酉,,,,수옥,,,,과숙,,,,,db03_dj_ymtj
戌,수옥,,,,,,,과숙,,,,,db03_dj_ymtj
亥,,,,,,,,,,수옥,과숙,,db03_dj_ymtj
子,,,고신,,,,,,,귀문,,,db04_dj_ymtj-dj_hj
丑,,,고신,,,,탕화 귀문,탕화,,,탕화,,db04_dj_ymtj-dj_hj
寅,,,탕화,,,고신 탕화,,귀문,탕화,,,,db04_dj_ymtj-dj_hj
卯,,,,,,고신,,,,귀문,,,db04_dj_ymtj-dj_hj
辰,,,,,,고신,,,,,,귀문,db04_dj_ymtj-dj_hj
巳,,,,,,,,,고신,,귀문,,db04_dj_ymtj-dj_hj
午,,탕화 귀문,,,탕화,,탕화,,고신,,,,db04_dj_ymtj-dj_hj
未,,,귀문,,,,,,고신,,,,db04_dj_ymtj-dj_hj
申,,,,귀문,,,,,,,,고신,db04_dj_ymtj-dj_hj
酉,귀문,,,,,,,,,,,고신,db04_dj_ymtj-dj_hj
戌,,,,,,귀문,,,,,,고신,db04_dj_ymtj-dj_hj
亥,,,고신,,귀문,,,,,,,,db04_dj_ymtj-dj_hj
子,,,격각,,,,,,,,,,db05_dj_ymtj-dj_hyj
丑,,,,격각,,,,,,,,,db05_dj_ymtj-dj_hyj
寅,,,,,격각,,,,,,,,db05_dj_ymtj-dj_hyj
卯,,,,,,격각,,,,,,,db05_dj_ymtj-dj_hyj
辰,,,,,,,격각,,,,,,db05_dj_ymtj-dj_hyj
巳,,,,,,,,격각,,,,,db05_dj_ymtj-dj_hyj
午,,,,,,,,,격각,,,,db05_dj_ymtj-dj_hyj
未,,,,,,,,,,격각,,,db05_dj_ymtj-dj_hyj
申,,,,,,,,,,,격각,,db05_dj_ymtj-dj_hyj
酉,,,,,,,,,,,,격각,db05_dj_ymtj-dj_hyj
戌,격각,,,,,,,,,,,,db05_dj_ymtj-dj_hyj
亥,,격각,,,,,,,,,,,db05_dj_ymtj-dj_hyj
子,,,,,,,,,,,,단교관,db06_mj_dtj
丑,단교관,,,,,,,,,,,,db06_mj_dtj
寅,,,단교관,,,,,,,,,,db06_mj_dtj
卯,,,,단교관,,,,,,,,,db06_mj_dtj
辰,,,,,,,,,단교관,,,,db06_mj_dtj
巳,,단교관,,,,,,,,,,,db06_mj_dtj
午,,,,,,,,,,,단교관,,db06_mj_dtj
未,,,,,,,,,,단교관,,,db06_mj_dtj
申,,,,,단교관,,,,,,,,db06_mj_dtj
酉,,,,,,단교관,,,,,,,db06_mj_dtj
戌,,,,,,,단교관,,,,,,db06_mj_dtj
亥,,,,,,,,단교관,,,,,db06_mj_dtj
子,,,,,,천덕귀인,,,,,,천의성,db07_mj_ydtj
丑,천의성,,,,,,,,,,,,db07_mj_ydtj
寅,,천의성,,,,,,,,,,,db07_mj_ydtj
卯,,,천의성,,,,,,천덕귀인,,,,db07_mj_ydtj
辰,,,,천의성,,,,,,,,,db07_mj_ydtj
巳,,,,,천의성,,,,,,,,db07_mj_ydtj
